cosmic_id,afatinib,cisplatin,dabrafenib,olaparib,palbociclib,trametinib,vismodegib
1240121,6,5,1,2,4,7,3
1240122,7,5,2,1,4,6,3
1240123,6,2,4,3,7,1,5
1240124,6,1,5,4,3,7,2
1240125,3,2,7,1,4,6,5
1240127,4,7,3,6,2,1,5
1240128,1,3,7,2,5,6,4
1240129,7,3,4,2,1,5,6
1240130,2,5,7,1,3,6,4
1240131,6,3,5,1,7,2,4
1240132,5,4,2,3,6,1,7
1240134,2,5,6,1,7,4,3
1240135,3,5,2,1,6,4,7
1240136,2,5,3,4,6,1,7
1240137,1,4,3,2,5,7,6
1240138,1,5,7,6,2,4,3
1240139,6,3,4,2,5,7,1
1240140,7,3,1,2,5,6,4
1240141,6,5,3,2,4,7,1
1240142,6,3,1,4,7,5,2
1240143,6,2,5,3,1,7,4
1240145,3,6,2,4,1,7,5
1240146,7,6,2,4,5,1,3
1240147,3,4,6,2,1,7,5
1240150,3,5,2,1,7,4,6
1240151,1,5,2,4,6,7,3
1240153,1,4,7,2,5,6,3
1240154,1,3,7,2,4,6,5
1240159,2,7,3,6,5,1,4
1240160,2,4,6,5,1,7,3
1240161,1,6,2,3,7,4,5
1240162,7,3,4,1,5,6,2
1240166,2,7,4,6,3,1,5
1240167,6,5,3,4,1,7,2
1240168,4,7,2,3,6,1,5
1240169,4,3,2,6,5,7,1
1240170,1,3,4,5,2,6,7
1240172,5,6,3,7,1,4,2
1240173,4,3,7,1,2,6,5
1240174,7,3,1,2,4,6,5
1240178,1,3,6,2,4,7,5
1240179,4,6,3,7,1,2,5
1240181,4,6,5,3,2,1,7
1240182,6,3,4,7,1,2,5
1240183,6,2,1,5,4,7,3
1240184,1,2,6,5,3,7,4
1240185,6,5,1,4,3,7,2
1240186,3,4,7,2,5,1,6
1240187,2,4,1,3,5,7,6
1240189,5,3,2,7,4,1,6
1240190,1,2,4,5,6,7,3
1240191,3,5,7,6,2,1,4
1240192,6,5,4,2,3,1,7
1240193,5,3,4,6,2,1,7
1240196,6,1,4,5,7,3,2
1240197,5,3,7,1,2,6,4
1240198,7,5,2,3,1,6,4
1240199,3,2,5,1,6,7,4
1240200,7,1,2,5,3,6,4
1240201,4,1,6,5,3,7,2
1240202,7,1,3,6,5,2,4
1240204,6,1,2,3,5,7,4
1240205,6,3,2,1,4,7,5
1240206,7,6,1,4,3,2,5
1240207,6,1,3,4,5,7,2
1240208,1,2,6,5,3,7,4
1240209,2,3,1,6,4,7,5
1240210,5,4,2,6,3,1,7
1240212,4,7,5,6,1,3,2
1240215,6,3,2,4,7,5,1
1240216,4,7,5,3,1,6,2
1240217,7,4,1,3,5,2,6
1240218,3,7,4,2,6,1,5
1240219,2,4,5,3,6,7,1
1240221,5,3,6,7,2,1,4
1240222,4,7,1,5,3,6,2
1240223,2,5,6,1,7,3,4
1240226,1,3,7,2,4,6,5
1247871,1,6,2,4,5,3,7
1247873,7,1,4,5,3,6,2
1287381,2,7,3,5,6,4,1
1287706,2,4,7,1,3,6,5
1290455,3,4,6,2,1,7,5
1290722,1,5,6,3,4,7,2
1290724,1,6,3,5,7,4,2
1290730,5,2,4,3,6,7,1
1290767,5,1,6,4,2,7,3
1290768,2,5,7,4,6,3,1
1290769,1,3,5,2,4,7,6
1290771,3,1,6,2,4,7,5
1290795,1,6,2,5,7,3,4
1290797,4,1,5,7,2,6,3
1290798,7,2,6,3,4,1,5
1290806,1,2,7,5,3,4,6
1290810,3,2,7,6,5,4,1
1290812,6,3,2,4,5,7,1
1290813,1,2,3,4,5,7,6
1290814,2,4,7,3,5,1,6
1290905,3,2,7,5,6,1,4
1290906,7,5,3,4,2,1,6
1290907,6,3,4,2,1,7,5
1290908,5,2,1,4,6,7,3
1290922,7,5,3,6,1,2,4
1295740,6,2,7,3,4,1,5
1295741,6,3,7,2,1,4,5
1297439,3,7,5,4,2,1,6
1297446,3,1,7,2,4,6,5
1297447,6,3,4,5,2,1,7
1297449,3,2,6,4,5,1,7
1298141,2,4,7,1,5,6,3
1298145,1,4,5,3,6,2,7
1298146,1,6,2,4,7,3,5
1298151,6,2,3,5,1,7,4
1298156,7,4,1,5,3,6,2
1298157,6,3,7,4,1,5,2
1298160,1,5,7,2,4,6,3
1298168,3,1,4,6,7,5,2
1298169,2,5,7,1,6,3,4
1298215,5,1,4,3,7,6,2
1298216,3,4,5,7,6,1,2
1298219,6,4,7,2,5,3,1
1298222,7,2,5,3,4,1,6
1298223,7,5,1,2,3,4,6
1298226,5,3,7,1,4,6,2
1298347,5,3,4,6,2,1,7
1298348,7,1,3,4,2,6,5
1298349,4,7,3,5,1,2,6
1298350,7,6,2,5,1,3,4
1298351,7,6,2,3,1,4,5
1298352,6,3,5,4,2,1,7
1298353,5,6,4,3,1,2,7
1298356,2,1,3,4,7,5,6
1298357,7,3,2,1,4,6,5
1298358,1,3,4,6,5,7,2
1298359,7,1,2,3,5,6,4
1298362,7,2,1,4,5,6,3
1298365,6,4,5,1,7,3,2
1298475,6,1,5,3,4,7,2
1298476,3,1,4,6,7,5,2
1298526,6,2,4,3,5,7,1
1298529,3,6,1,4,7,2,5
1298531,7,4,1,2,5,6,3
1298533,5,2,6,3,1,7,4
1298534,5,1,2,4,3,7,6
1298537,5,7,4,3,1,2,6
1298538,7,2,3,1,5,6,4
1298539,1,3,6,4,5,7,2
1299050,7,3,5,2,1,6,4
1299052,6,5,2,4,1,7,3
1299059,2,7,1,3,5,6,4
1299062,2,3,6,5,1,7,4
1299064,7,1,6,3,5,2,4
1299070,7,1,6,3,5,4,2
1299075,3,2,7,4,6,1,5
1299078,4,5,7,2,1,6,3
1299080,1,3,7,2,4,6,5
1299081,2,4,3,5,1,7,6
1303896,4,3,5,2,7,1,6
1303900,6,2,5,4,1,3,7
1303912,6,5,3,4,2,7,1
1322212,4,5,1,2,6,3,7
1322213,4,3,5,6,2,1,7
1322218,2,3,7,6,4,1,5
1322224,4,2,3,1,6,5,7
1323913,1,4,5,2,6,7,3
1327765,3,2,5,4,7,1,6
1327766,5,3,6,4,1,2,7
1327768,2,6,7,5,4,1,3
1327769,1,5,7,3,6,2,4
1327771,2,3,5,1,6,7,4
1327773,2,4,3,5,6,1,7
1327774,2,6,3,5,4,1,7
1327775,4,1,6,3,2,7,5
1330931,4,2,7,1,3,6,5
1330933,2,4,3,6,7,1,5
1330935,3,6,5,4,2,1,7
1330941,7,2,6,3,4,1,5
1330942,1,3,7,6,2,4,5
1330947,1,3,6,4,7,5,2
1330948,4,3,5,2,7,1,6
1330950,1,6,7,5,2,4,3
1330964,4,7,3,5,1,2,6
1330972,5,7,3,6,2,1,4
1330973,3,6,4,5,1,2,7
1330982,3,7,2,4,5,1,6
1330983,1,4,6,3,5,7,2
1330984,3,6,7,4,5,2,1
1330985,4,6,3,5,1,2,7
1330987,4,5,7,3,2,1,6
1330991,3,1,4,2,7,5,6
1330994,3,5,2,6,7,1,4
1330995,7,3,6,4,1,2,5
1331025,3,6,2,5,4,1,7
1331032,3,7,5,4,1,2,6
1331033,5,2,6,4,7,1,3
1331034,4,3,7,5,2,1,6
1331035,4,3,5,6,2,1,7
1331036,6,2,5,4,1,7,3
1331037,3,4,5,2,7,1,6
1331038,6,4,3,7,1,2,5
1331039,2,6,3,5,4,1,7
1331045,6,3,5,4,2,1,7
1331048,5,4,6,2,3,1,7
1331049,4,5,3,7,2,1,6
1331050,5,1,4,7,2,3,6
1479987,5,3,7,2,6,4,1
1479988,3,2,6,4,5,7,1
1479995,6,1,5,3,4,7,2
1480358,6,4,2,5,1,7,3
1480359,7,4,2,5,1,6,3
1480360,3,2,4,6,1,7,5
1480361,5,3,2,7,1,6,4
1480362,3,7,2,1,6,4,5
1480364,7,1,5,4,2,6,3
1480371,2,5,3,4,7,1,6
1480372,6,3,2,4,5,7,1
1480374,7,3,5,4,1,6,2
1503361,4,2,7,1,6,5,3
1503362,6,5,1,2,4,7,3
1503363,3,7,4,5,2,1,6
1503364,7,4,6,1,2,5,3
1503365,5,3,4,1,6,7,2
1503366,7,6,3,5,2,1,4
1503367,2,1,3,4,6,7,5
1503368,7,4,3,5,1,2,6
1503369,7,2,3,1,5,6,4
1503370,2,3,7,4,5,6,1
1503371,7,1,4,3,2,6,5
1509073,5,4,6,1,7,2,3
1509074,3,2,7,1,4,5,6
1524414,5,6,7,2,4,3,1
1524415,3,7,6,2,5,4,1
1524417,5,6,7,1,2,3,4
1524418,6,1,7,4,5,3,2
1524419,6,7,5,1,3,4,2
1659817,4,5,7,3,2,1,6
1659818,2,6,3,5,7,4,1
1659819,2,1,3,5,7,4,6
1659823,7,4,3,1,5,2,6
1660034,3,2,6,5,4,7,1
1660035,6,5,3,2,1,7,4
1660036,2,3,1,6,7,5,4
1674021,1,3,7,2,4,6,5
683665,4,3,7,2,6,1,5
683667,1,7,4,6,2,5,3
684052,2,3,7,6,5,1,4
684055,4,2,5,6,7,1,3
684057,2,6,5,4,7,1,3
684059,3,4,5,7,6,1,2
684062,2,7,6,3,5,1,4
684072,2,6,5,7,4,1,3
684681,4,5,2,7,1,6,3
687448,2,3,7,1,4,6,5
687452,7,6,3,5,1,2,4
687455,2,5,6,4,1,7,3
687457,6,5,2,4,7,3,1
687459,1,5,2,7,4,3,6
687505,7,4,3,5,1,6,2
687514,7,6,3,2,1,4,5
687561,2,6,4,7,1,3,5
687562,4,5,2,7,1,3,6
687568,1,7,4,3,5,6,2
687586,3,4,2,6,7,1,5
687588,1,4,3,7,6,5,2
687590,7,3,4,5,2,6,1
687592,1,5,2,4,7,6,3
687596,2,5,3,7,4,1,6
687600,7,3,4,5,2,1,6
687777,7,2,3,4,1,6,5
687780,1,5,3,2,7,6,4
687787,6,3,2,7,1,4,5
687798,7,3,1,5,4,6,2
687799,7,3,2,4,5,1,6
687802,7,1,2,3,5,6,4
687804,7,3,4,5,2,1,6
687807,7,1,4,2,5,3,6
687812,3,4,2,6,7,1,5
687815,7,4,2,3,5,1,6
687819,7,4,2,6,5,1,3
687820,4,1,6,5,3,7,2
687821,1,5,6,4,3,7,2
687829,7,5,3,4,6,1,2
687983,6,5,7,3,1,4,2
687985,2,6,3,5,1,4,7
687995,4,6,3,7,2,1,5
687997,6,3,4,5,2,1,7
688001,2,4,6,3,7,5,1
688006,5,6,3,4,2,1,7
688007,4,5,3,7,2,1,6
688010,3,1,4,7,5,6,2
688011,3,2,4,5,7,1,6
688013,4,7,3,6,5,1,2
688014,7,5,4,3,2,1,6
688018,5,7,3,6,1,2,4
688021,5,3,4,7,2,1,6
688023,7,3,4,5,2,1,6
688025,3,7,4,5,2,1,6
688026,2,6,3,5,1,4,7
688027,7,3,4,6,2,1,5
688031,3,7,5,4,2,1,6
688058,4,2,5,7,1,6,3
688086,7,6,2,1,3,4,5
688087,3,1,5,2,4,7,6
688121,3,6,2,1,7,4,5
713869,2,3,6,7,4,1,5
713878,5,3,2,6,7,1,4
713880,3,4,5,7,1,2,6
713885,5,3,4,6,2,1,7
713899,3,6,4,5,2,1,7
717431,4,7,1,2,6,5,3
722045,6,1,5,4,2,7,3
722046,6,4,1,5,2,7,3
722058,2,7,3,6,4,5,1
722066,1,5,7,2,6,3,4
724812,1,2,3,7,4,5,6
724825,4,3,6,2,1,7,5
724828,1,5,4,2,6,7,3
724831,5,2,6,1,3,7,4
724834,2,3,6,4,5,7,1
724838,2,6,4,7,3,5,1
724839,2,6,3,5,1,7,4
724855,5,1,6,4,2,7,3
724859,5,1,6,3,2,7,4
724863,5,2,4,3,1,7,6
724866,5,3,1,2,6,7,4
724868,2,3,1,4,6,7,5
724869,4,1,6,5,2,7,3
724870,1,6,3,2,5,7,4
724872,3,2,4,5,7,1,6
724873,3,2,4,6,1,7,5
724874,5,1,6,2,4,7,3
724878,3,1,6,5,2,7,4
724879,6,2,1,5,3,7,4
735784,6,3,1,2,4,7,5
749709,7,1,2,4,3,6,5
749710,4,3,1,2,6,7,5
749711,3,6,4,7,2,1,5
749712,1,7,5,6,4,3,2
749714,4,6,2,5,1,3,7
749715,6,5,3,4,2,1,7
749716,7,3,4,5,2,1,6
749717,5,3,4,6,2,1,7
753531,7,3,1,4,6,5,2
753532,3,1,6,5,4,7,2
753533,5,6,3,1,4,7,2
753534,3,5,2,4,6,1,7
753535,7,2,1,4,6,5,3
753538,7,3,2,5,4,6,1
753540,7,1,6,3,2,5,4
753541,7,3,1,2,5,6,4
753545,4,2,7,1,3,6,5
753546,3,2,6,4,5,7,1
753547,6,5,4,2,3,1,7
753548,2,6,4,3,5,1,7
753549,4,7,3,2,1,5,6
753551,4,6,3,7,2,1,5
753552,7,2,3,1,6,4,5
753554,4,1,2,5,6,7,3
753555,7,2,4,3,5,6,1
753556,6,3,5,2,4,7,1
753558,4,3,7,6,5,1,2
753561,6,3,4,5,1,2,7
753562,7,2,1,6,4,5,3
753563,2,3,5,4,1,7,6
753564,5,4,3,7,2,1,6
753565,4,3,6,7,2,1,5
753566,3,4,1,7,5,2,6
753569,6,3,2,5,4,7,1
753570,7,1,5,4,2,6,3
753572,1,4,2,7,5,3,6
753573,3,7,4,6,1,5,2
753574,7,1,2,3,6,4,5
753575,3,6,2,1,7,4,5
753576,6,5,1,4,7,2,3
753577,6,3,7,1,4,5,2
753578,7,2,6,3,1,5,4
753579,2,1,5,4,3,7,6
753581,3,6,2,4,1,7,5
753582,5,7,4,3,2,1,6
753583,7,6,4,5,1,3,2
753584,6,3,4,7,1,2,5
753585,7,2,3,5,1,6,4
753586,3,6,4,2,5,1,7
753588,3,5,4,7,2,1,6
753589,6,3,7,4,2,1,5
753592,5,3,2,4,7,6,1
753594,4,3,5,6,2,1,7
753595,4,2,6,3,5,7,1
753596,2,4,7,3,1,6,5
753599,6,5,4,3,2,1,7
753600,6,3,4,1,5,7,2
753604,7,1,4,5,2,6,3
753605,2,6,3,5,1,4,7
753607,5,3,4,7,2,1,6
753608,3,5,2,6,1,7,4
753610,3,7,5,6,4,1,2
753612,4,2,6,5,3,1,7
753614,7,3,4,5,6,2,1
753615,3,1,7,2,5,4,6
753616,1,6,3,2,7,5,4
753618,1,3,2,5,7,6,4
753621,7,3,6,2,1,5,4
753622,7,4,2,1,3,6,5
753623,1,2,4,5,6,7,3
753624,3,7,4,6,2,5,1
905933,6,4,2,7,3,1,5
905934,3,5,2,4,7,1,6
905935,7,1,3,4,2,5,6
905936,2,1,6,4,3,7,5
905937,2,5,6,3,7,1,4
905938,1,6,2,4,7,3,5
905939,1,4,6,2,5,7,3
905940,3,4,6,1,2,7,5
905941,4,1,7,5,6,2,3
905942,1,6,3,5,4,7,2
905944,7,5,4,3,1,2,6
905945,6,2,5,3,7,1,4
905946,2,4,6,5,7,1,3
905947,4,1,3,5,7,6,2
905948,2,5,4,6,1,7,3
905949,6,1,4,3,5,7,2
905950,7,4,6,2,1,5,3
905951,6,4,3,7,1,5,2
905952,2,4,5,3,7,1,6
905954,5,2,7,1,3,6,4
905955,2,5,6,3,4,7,1
905956,4,6,7,1,5,3,2
905957,2,6,1,3,7,5,4
905958,2,5,6,4,7,1,3
905959,6,1,7,5,4,3,2
905960,1,2,3,5,6,7,4
905961,3,1,5,2,4,7,6
905962,1,4,3,5,6,7,2
905963,7,5,6,2,3,4,1
905964,2,4,5,3,7,1,6
905967,7,4,5,3,2,1,6
905968,6,3,2,4,5,7,1
905969,3,5,2,4,6,7,1
905970,7,1,3,2,4,6,5
905971,1,6,2,5,3,4,7
